OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID
1,17/08,Rosemeade,9 Castleroy Road,Broughty Ferry,919062a0-e806-4037-a2fa-f6004d0fe6b1
2,02/12,Moyness Nursing Home,76 Grove Road,Dundee,84e0b68b-3acf-41fb-a5c7-c5b121d3f702
3,07/08,Land North of Foggyley Gardens,Foggyley Gardens,Dundee,9b1228d3-8482-451e-95b2-8eed74b43351
4,04/08,Wimberley Houses,Glamis Drive,"Dundee, DD2 1UP",47ec5b49-e960-47da-9774-1e3491d3a782
5,03/09,Greenwood,3 Castleroy Road,Broughty Ferry,0d7cc36b-d12f-4b4b-ab98-b725b3a30e26
6,06/09,North Grange,Arbroath Road,Dundee,b9208f78-e6f4-4679-8333-008347f0e409
7,08/84,Burnbank,Victoria Road,West Ferry,04c8e9c0-1534-43f2-8dea-f4161a34b178
8,03/94,Craigiebarns House,Craigiebarn Road,Dundee,038f1faf-71ef-4adb-a8ee-31f889ce7dc3
9,05/01,Shiell Court,Broughty Ferry,Dundee,4e91d899-a262-4696-9fdd-fcacda81799c
10,02/03,Claverhouse,Dundee,Dundee,fb5ba08e-ee00-48f8-9dd2-a30e775da056
11,02/96,23/25 Laird Street,Dundee,Dundee,22e0977d-44c6-4152-ade9-f74d7d67f29b
12,08/04,18 Glamis Road,Dundee,Dundee,8ce37cb3-4e26-4f23-8377-4447576f6f1c
13,10/05,Ground at Pitalpin Hpuse,Pitalpin Street,Dundee,5e4496c6-fcc3-4f9f-9b2d-31a5f564682f
14,01/07,81 Dundee Road,Broughty Ferry,Dundee,18896685-2ac9-4e7d-9389-bc2829e49d93
15,01/08,The Friary,8 to 18 Tullideph Road,Dundee,33d3010d-01af-4ad3-8b72-0f6c8553dd40
16,03/01,Harris Academy Annex,Logie School,Blackness Road,c63016b7-521a-4623-862d-8913d071dec8
17,03/04,The Kittiwake,Dalhousie Road,Dundee,b823c6c4-9fbb-4c61-a0be-48c6b71017ee
18,11/07,Brook Gardens/Brook Close,Brook Street,Dundee,9afaaff6-fa80-4133-94d8-76b13bc397c0
19,12/08,Craig Gowan,42 Camphill Road,Broughty Ferry,4c9d919e-d96c-4d35-9872-dd7434f4d285
20,07/12,42 Strathern Road,Dundee,,48f23d5a-73d4-4fee-9381-aea79bd1033e
21,03/12,St Ronans,Dalkeith Road,Dundee,576d0c37-f472-491b-b547-7c1f65e62161
22,04/12,363 Perth Road,Dundee,,42bd49cc-2d69-4b3c-996e-d3f82e44f410
