OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year,TPOAge,FullAddress,Area
142,02/13,Parkview School,309 Blackness Road,Dundee,8dc61595-1bf3-48a7-85fa-769f165d3adf,2013,13,"Parkview School, 309 Blackness Road",Balgay
143,03/13,N Of Scotland Water Authority,Stobsmuir Road,Dundee,c729af95-ae9f-4884-9d87-4af3ffc4398a,2013,13,"N Of Scotland Water Authority, Stobsmuir Road",Craigiebank
144,07/12,43 Albany Road,Broughty Ferry,Dundee,ba391062-dc43-468d-bb46-509d61fbb198,2012,14,"43 Albany Road, Broughty Ferry",Broughty Ferry
145,05/13,Windsor Court,Broughty Ferry,Dundee,2dc4e73b-0076-43e0-afee-cd1dbc0130a7,2013,13,"Windsor Court, Broughty Ferry",Broughty Ferry
146,03/14,1 Norrie Street,Broughty Ferry,Dundee,4ca776b5-3136-4a1e-8139-dc579dfbb8e1,2014,12,"1 Norrie Street, Broughty Ferry",Broughty Ferry
147,04/14,Seymour Lodge,259 Perth Road,Dundee,0409ad09-0226-4866-ab4a-3d41bc927471,2014,12,"Seymour Lodge, 259 Perth Road",Balgay
148,02/16,48 Adelaide Place,Dundee,Dundee,3c81f456-5c27-4f9f-8727-757bc265d660,2016,10,48 Adelaide Place,Dundee Law
149,01/17,Invercarse Hotel,371 Perth Road,Dundee,3dab18ef-cfa6-46be-9aca-cee129b186d9,2017,9,"Invercarse Hotel, 371 Perth Road",Ninewells
150,01/16,33 Reres Road,Broughty Ferry,Dundee,d3d7e5ba-fac3-4fef-99fa-86292f41e3b4,2016,10,"33 Reres Road, Broughty Ferry",Broughty Ferry
151,01/19,158 Nethergate,Dundee,Dundee,d52bb616-13eb-4d28-b31d-5725cd35e12f,2019,7,158 Nethergate,City Centre
152,02/19,Dundee,3 Farington Gardens,Dundee,75e8af89-846d-4651-92f8-291c5f09987a,2019,7, 3 Farington Gardens,Balgay
153,01/94,Stirling House,Netherton Cottage,Craigiebarn Road,e71ba6d5-0558-4faa-a628-896403a4e4d9,1994,32,"Stirling House, Netherton Cottage, Craigiebarn Road",Craigiebank
154,01/23,13B Richmond Terrace,Garden Ground To West,Dundee,8d95f095-0560-4fce-84a2-ba7471280a43,2023,3,"13B Richmond Terrace, Garden Ground To West",Dundee Law
155,01/25,Dundee,Dundee,Dundee,298beaaf-e3a0-424c-8dfd-c0bbc8832db7,2025,1,,Other
