OBJECTID,Site reference,LDP2 reference,Year site added,Site area (ha),Site address,Easting,Northing,Site type,Site status,Owner/Developer,Tenure type,Planning application reference,Last planning approval date,Building warrant reference,Date completed/expired,Greenfield/Brownfield,Self build,Windfall site,Site capacity,BW plots written off,No of houses,No of flats,Plots completed in survey year,Total completions,Units to build,Year 24/25,Year 25/26,Year 26/27,Year 27/28,Year 28/29,Year 29/30,Year 30/31,Year 31/32,Year 32/33,Year 33/34,Later Years,Total Programmed,Shape__Area,Shape__Length
17,200356A,,03/11/2016 00:00,19.34174556,"WESTERN GATEWAY, SOUTH GRAY",334131,731821,Effective,Under Construction,SPRINGFIELD,Private,"15/00121/FULM, 16/00370/FULL, 16/01012/MDPO, 17/00938/FULL, 18/00539/FULL",11/06/2018 00:00,"15/00620/DOM1, 18/00073/DOM1, 22/00570/DOM1",,Greenfield,No,Yes,341,167,146,58,0,201,140,0,40,40,60,0,0,0,0,0,0,0,140,193417.4555,1787.155109
18,200408,,06/03/2015 00:00,24.33120373,"WESTERN GATEWAY, SWALLOW",334038,731320,Effective,Under Construction,SPRINGFIELD,Private,"14/00205/FULM, 16/01023/FULL, 17/00409/MDPO, 23/00168/FULL",7/19/2017 12:00:00 AM,"15/00191/DOM1, 15/00335/DOM1, 15/00641/DOM1, 21/00369/DOM1, 22/00345/DOM1",,Greenfield,No,No,230,128,0,0,26,133,97,24,0,0,0,38,35,0,0,0,0,0,97,243312.0374,2228.129146
19,201509,,04/01/2015 00:00,1.524181399,"LINLATHEN HOUSE, LAND TO EAST OF",346406,732975,Constrained,Constrained,PRIVATE,Private,10/00298/FULM,,13/00220/DOM1,,Greenfield,No,Yes,60,0,0,0,0,18,42,0,0,0,0,0,0,0,0,0,,0,0,15241.8139,1019.8956
20,200738,,6/17/2016 12:00:00 AM,7.820707431,DUNDEE WESTERN LIFF PHASE 2,334379,732314,Effective,Under Construction,SPRINGFIELD,Private,"15/00410/FULM, 18/00992/FULL",02/06/2019 00:00,18/00685/DOM1,,Greenfield,No,Yes,100,0,100,0,0,0,100,0,24,36,26,4,0,0,0,0,0,0,100,78207.07433,1437.790597
21,201601,,7/28/2015 12:00:00 AM,0.196632734,"GARDYNE ROAD, WINNOCKS, 1 ",343984,731379,Effective,Site Complete,PRIVATE,Private,"15/00416/FULL, 17/00947/FULL, 22/0018/NMV, 23/0019/NMV",02/08/2018 00:00,17/00711/DOM1,04/04/2023 00:00,Brownfield,No,Yes,7,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,,0,2,1966.327301,232.5111549
22,201607L,,5/15/2015 12:00:00 AM,0.040366131,"COLLINGWOOD CRESCENT, 20, LAND TO WEST OF",347875,731329,Small Site,Under Construction,PRIVATE,Private,"15/00138/FULL, 19/00031/FULL",05/01/2019 00:00,19/00644/DOM2,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,403.6613159,88.83357963
23,201705G,,6/24/2016 12:00:00 AM,0.146947301,"DUDHOPE TERRACE, 7 ",339493,730910,Small Site,Consent Expired,PRIVATE,Private,"16/00277/FULL, 19/00797/FULL",12/19/2019 12:00:00 AM,19/00655/DOM4,12/19/2022 12:00:00 AM,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1469.473038,167.7835327
24,201705H,,9/14/2016 12:00:00 AM,0.057013176,"MONIFIETH ROAD, 96 ",347449,731179,Small Site,Under Construction,PRIVATE,Private,16/00505/FULL,9/14/2016 12:00:00 AM,17/00095/DOM2,,Brownfield,No,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,570.1318054,102.9926056
25,201705B,,04/08/2010 00:00,0.03385663,"BROOK STREET, 197, 2/2, BROUGHTY FERRY",346151,730939,Small Site,Planning Consent,PRIVATE,Private,"10/00066/FULL, 13/00139FULL, 16/00488/FULL, 19/00185/FULL,  22/00283/FULL",06/02/2022 00:00,"12/00033/ALT, 21/00661/DOM3",05/10/2022 00:00,Brownfield,No,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,338.5662689,79.08719366
26,201705K,,12/08/2016 00:00,0.182993209,"DUNDEE ROAD, HOLLY HILL, 69",344419,731195,Small Site,Planning Consent,PRIVATE,Private,"16/00832/FULL, 19/00845/FULL, 22/00651/FULL",11/24/2022 12:00:00 AM,,,Brownfield,No,Yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1829.932037,198.138962
