Month,Year,Site-No,Site-Name,Grid reference,Temperature,N2O-N,CH4-C,CO2-C ,NO3-N,NH4-N,TDN-N,DON-N,DOC,TDC,DIC,CO2 Sat,CH4 Sat,N2O Sat
October,2010,8,Tay Pitnacree,NN 9240353411,7.7,0.5,1.34,0.54,0.15,0.01,0.52,0.27,3.86,6.42,2.56,225.61,2425.5,130.6
November,2010,8,Tay Pitnacree,NN 9240353411,4.6,0.48,2.3,0.49,0.12,0.01,0.35,0.12,3.93,6.48,2.55,182.85,4453,111.36
December,2010,8,Tay Pitnacree,NN 9240353411,2.6,0.48,1.23,0.49,0.11,0.01,0.38,0.16,3.56,7.72,4.15,169.83,2394.36,103.86
February,2009,9,Tay Kenmore,NN 7821446706,3.15,0.48,0.39,0.44,0.11,0.01,0.33,0.1,5.06,8.17,3.11,155.63,760.45,107.11
March,2009,9,Tay Kenmore,NN 7821446706,7.9,0.41,0.34,0.36,0.12,0.01,0.36,0.12,2.5,4.64,2.13,150.97,609.2,107.61
April,2009,9,Tay Kenmore,NN 7821446706,8.9,0.39,0.34,0.37,0.11,0.01,0.31,0.09,2.64,5.43,2.78,159.54,597.97,104.78
May,2009,9,Tay Kenmore,NN 7821446706,9.92,0.42,1.01,0.32,0.12,0.01,0.35,0.12,3.21,5.14,1.93,143.91,1675.43,119.55
June,2009,9,Tay Kenmore,NN 7821446706,12.71,0.41,0.74,0.47,0.1,0.01,0.29,0.08,3.94,7.86,3.92,233.6,1069.61,128.65
July,2009,9,Tay Kenmore,NN 7821446706,16.15,0.37,0.82,0.28,0.11,0.01,0.31,0.09,3.19,8.85,5.66,154.86,969.63,133.24
August,2009,9,Tay Kenmore,NN 7821446706,16.32,0.32,1.05,0.44,0.12,0.01,0.34,0.11,3.68,7.57,3.89,241.77,1222.92,115.81
September,2009,9,Tay Kenmore,NN 7821446706,14.22,0.34,1.83,0.42,0.13,0.01,0.39,0.14,2.9,6.37,3.47,217.1,2429.2,112.06
October,2009,9,Tay Kenmore,NN 7821446706,10.7,0.41,0.46,0.36,0.13,0.01,0.38,0.14,2.93,4.97,2.04,167.59,737.74,118.4
November,2009,9,Tay Kenmore,NN 7821446706,8.1,0.49,0.84,0.59,0.1,0.01,0.29,0.08,2.95,5.02,2.07,251.47,1497.07,128.22
December,2009,9,Tay Kenmore,NN 7821446706,5.5,0.44,1.81,0.42,0.11,0.01,0.31,0.09,2.9,6.44,3.54,161.98,3469.84,105.54
January,2010,9,Tay Kenmore,NN 7821446706,3.1,0.45,0.92,0.37,0.11,0.01,0.32,0.1,3.22,6.2,2.98,129.75,1787.13,99.24
February,2010,9,Tay Kenmore,NN 7821446706,3.4,0.43,0.68,0.48,0.12,0.01,0.35,0.12,3.07,5.7,2.63,170.76,1322.54,96.22
March,2010,9,Tay Kenmore,NN 7821446706,7.5,0.39,1.05,0.43,0.1,0.01,0.29,0.08,3.25,5.53,2.28,178.36,1912.64,99.61
April,2010,9,Tay Kenmore,NN 7821446706,7.5,0.44,1.31,0.5,0.1,0.01,0.31,0.09,3.25,7.01,3.76,207.39,2380.72,113.61
May,2010,9,Tay Kenmore,NN 7821446706,13.9,0.41,1.14,0.37,0.12,0.01,0.34,0.11,3.03,7.58,4.55,188.52,1534.36,133.72
June,2010,9,Tay Kenmore,NN 7821446706,16.49,0.36,0.88,0.47,0.13,0.01,0.39,0.14,4.34,13.31,8.97,263.29,1020.8,130.95
July,2010,9,Tay Kenmore,NN 7821446706,17.64,0.42,0.98,0.28,0.13,0.01,0.38,0.14,3.62,6.7,3.08,161.45,1057.18,158.23
August,2010,9,Tay Kenmore,NN 7821446706,16.87,0.35,1.19,0.37,0.1,0.01,0.29,0.08,4.1,6.57,2.47,208.88,1346.35,128.39
September,2010,9,Tay Kenmore,NN 7821446706,12.22,0.51,1.53,0.24,0.11,0.01,0.31,0.09,3.08,5.43,2.35,117.38,2270.79,158.13
October,2010,9,Tay Kenmore,NN 7821446706,7.34,0.51,1.16,0.46,0.12,0.01,0.35,0.11,2.93,4.82,1.88,187.64,2114.17,130.52
November,2010,9,Tay Kenmore,NN 7821446706,4.32,0.44,2.08,0.55,0.14,0.01,0.39,0.14,3.64,5.96,2.32,203.65,4040.4,102.12
December,2010,9,Tay Kenmore,NN 7821446706,2.41,0.46,1.01,0.49,0.13,0.01,0.38,0.14,3.18,6.55,3.37,168.64,1963.93,98.43
